Category,Metric,Value
basic,count,2016181.0
basic,mean,0.0015399142845359743
basic,median,0.00091550685465
basic,std,0.0015589297648624682
basic,variance,2.43026201177415e-06
basic,min,4.7545065172e-05
basic,max,0.023789796978
basic,range,0.023742251912828
percentiles,p1,8.0510202679e-05
percentiles,p5,0.00012483028695
percentiles,p10,0.00014810888388
percentiles,p20,0.00017532733909
percentiles,p25,0.00022399205773
percentiles,p30,0.00030087152845
percentiles,p40,0.00052223587409
percentiles,p50,0.00091550685465
percentiles,p60,0.0014866478741
percentiles,p70,0.0022273084614
percentiles,p75,0.0026072114706
percentiles,p80,0.0029828692786
percentiles,p90,0.0038117014337
percentiles,p95,0.0043878355063
percentiles,p99,0.0060249994509
percentiles,p99.9,0.009666876345898483
advanced,skewness,1.3054842293618765
advanced,kurtosis,2.4011759398914645
advanced,coefficient_of_variation,1.0123484018022626
advanced,interquartile_range,0.0023832194128699997
advanced,median_absolute_deviation,0.00076070772775
advanced,root_mean_square,0.0021912548951438966
distribution,mode,6.9620757131e-05
distribution,geometric_mean,0.0007956208739153612
distribution,harmonic_mean,0.00038568465067503183
distribution,trimmed_mean_10,0.0013151337969886147
distribution,trimmed_mean_20,0.0011629867861782063
turbulence_metrics,turbulent_intensity,0.032040747853693784
turbulence_metrics,energy_above_mean,1298.9685571307132
turbulence_metrics,high_energy_fraction,0.18745688011145825
turbulence_metrics,low_energy_fraction,0.4691314916666708
spatial,mean_radial_distance,0.06687884361801835
spatial,tke_center_vs_edge_center_mean_tke,0.0017823494087012297
spatial,tke_center_vs_edge_edge_mean_tke,0.0013384770845730216
