Category,Metric,Value
basic,count,53878
basic,mean,0.0018348907396433063
basic,median,0.0018620114166728627
basic,std,0.0006788684774037744
basic,variance,4.60862409612519e-07
basic,min,2.5844962917614204e-05
basic,max,0.004084269125623574
basic,range,0.0040584241627059595
percentiles,p1,0.0002884239935295508
percentiles,p5,0.0007082341986736622
percentiles,p10,0.0010412606665108697
percentiles,p20,0.001249763362822467
percentiles,p25,0.0013190998256477576
percentiles,p30,0.00140405140082879
percentiles,p40,0.0016220164770536767
percentiles,p50,0.0018620114166728627
percentiles,p60,0.0020296896957573
percentiles,p70,0.0022015662997210473
percentiles,p75,0.002278769561390942
percentiles,p80,0.0023925666182371117
percentiles,p90,0.0026999098966953797
percentiles,p95,0.002914602191017149
percentiles,p99,0.003538977291216222
percentiles,p99.9,0.003915422827181199
advanced,skewness,0.10543307548079175
advanced,kurtosis,-0.08736830063670897
advanced,coefficient_of_variation,0.36997760288208936
advanced,interquartile_range,0.0009596697357431843
advanced,median_absolute_deviation,0.0004868771872293578
advanced,root_mean_square,0.001956445215748943
distribution,mode,
distribution,geometric_mean,0.001677643651327368
distribution,harmonic_mean,0.0014223817067715444
distribution,trimmed_mean_5,0.0018315615494906338
distribution,trimmed_mean_10,0.0018293140421702875
distribution,trimmed_mean_20,0.001821643250462377
wss_flow_metrics,stress_variability_index,0.36997760288208936
wss_flow_metrics,excess_stress_magnitude,14.847676849887952
wss_flow_metrics,deficit_stress_magnitude,14.847676849887957
wss_flow_metrics,high_stress_fraction,0.005939344444856899
wss_flow_metrics,low_stress_fraction,0.0772857195887004
wss_flow_metrics,peak_to_rms_ratio,2.087596980864135
wss_flow_metrics,stress_concentration_factor,2.2258922765164404
wss_flow_metrics,uniformity_index,0.6300223971179106
component_analysis,x_component_mean,-0.0014220405292462769
component_analysis,x_component_std,0.0010389603211164047
component_analysis,x_component_min,-0.0040721870027
component_analysis,x_component_max,0.0028257474769
component_analysis,x_component_abs_mean,0.0016086415946063453
component_analysis,y_component_mean,1.5142366160990956e-05
component_analysis,y_component_std,0.0008456327575361943
component_analysis,y_component_min,-0.0028852052055
component_analysis,y_component_max,0.0029149500187
component_analysis,y_component_abs_mean,0.0005714208914708844
component_analysis,z_component_mean,7.23531465137036e-05
component_analysis,z_component_std,7.425931975727553e-05
component_analysis,z_component_min,-0.00031036650762
component_analysis,z_component_max,0.00058605213417
component_analysis,z_component_abs_mean,8.362406698146879e-05
component_analysis,dominant_direction_dominant_direction,x
component_analysis,dominant_direction_x_fraction,0.7106291250583014
component_analysis,dominant_direction_y_fraction,0.2524293351032983
component_analysis,dominant_direction_z_fraction,0.03694153983840022
component_analysis,dominant_direction_anisotropy_index,0.8891753804847994
spatial,mean_distance_from_center,0.06619488411311558
spatial,max_distance_from_center,0.14771682282850085
spatial,center_vs_edge_center_mean_wss,0.0020050139089676147
spatial,center_vs_edge_edge_mean_wss,0.0015750534944420917
spatial,center_vs_edge_center_std_wss,0.0007366647400738255
spatial,center_vs_edge_edge_std_wss,0.0004734985205953972
spatial,center_vs_edge_center_edge_ratio,1.2729814676407682
spatial,distance_gradient,0.005028360035617119
vertical_profile,vertical_variation,0.0003387841021359437
vertical_profile,z_gradient,-0.05758039050769105
