Category,Metric,Value
basic,count,525044
basic,mean,0.0013319658471231434
basic,median,0.0009971929165253641
basic,std,0.001146320101894592
basic,variance,1.3140497760076281e-06
basic,min,2.056175868734845e-06
basic,max,0.04272148835357828
basic,range,0.04271943217770954
percentiles,p1,7.442208214677507e-05
percentiles,p5,0.00016670294391340915
percentiles,p10,0.00024773462798630347
percentiles,p20,0.00039735276586295976
percentiles,p25,0.0004753982702215047
percentiles,p30,0.0005624935527638065
percentiles,p40,0.0007577017558449377
percentiles,p50,0.0009971929165253641
percentiles,p60,0.0012925256548189554
percentiles,p70,0.0016606209142169042
percentiles,p75,0.001876160340805206
percentiles,p80,0.00213162031379947
percentiles,p90,0.0028602094784853467
percentiles,p95,0.0035653064140790916
percentiles,p99,0.00520463740146483
percentiles,p99.9,0.007390421235384923
advanced,skewness,1.8898468109653523
advanced,kurtosis,11.080556211647265
advanced,coefficient_of_variation,0.8606227437216054
advanced,interquartile_range,0.0014007620705837015
advanced,median_absolute_deviation,0.0006169457023099741
advanced,root_mean_square,0.0017573219088055261
distribution,mode,0.0024121185636355974
distribution,geometric_mean,0.0009032625988401727
distribution,harmonic_mean,0.000529105071340132
distribution,trimmed_mean_5,0.00121903190929008
distribution,trimmed_mean_10,0.0011603522361759717
distribution,trimmed_mean_20,0.0010834486217538956
wss_flow_metrics,stress_variability_index,0.8606227437216054
wss_flow_metrics,excess_stress_magnitude,229.2006889120665
wss_flow_metrics,deficit_stress_magnitude,229.20068891206705
wss_flow_metrics,high_stress_fraction,0.12138411256961322
wss_flow_metrics,low_stress_fraction,0.35539116721646186
wss_flow_metrics,peak_to_rms_ratio,24.310564922403213
wss_flow_metrics,stress_concentration_factor,32.074011841858116
wss_flow_metrics,uniformity_index,0.1393772562783946
component_analysis,x_component_mean,-0.0007538662447939308
component_analysis,x_component_std,0.0012297525741725459
component_analysis,x_component_min,-0.01831282489
component_analysis,x_component_max,0.0061834328808
component_analysis,x_component_abs_mean,0.0009924216178956314
component_analysis,y_component_mean,2.6220701708796486e-05
component_analysis,y_component_std,0.0008482329879250598
component_analysis,y_component_min,-0.037074007094
component_analysis,y_component_max,0.013347656466
component_analysis,y_component_abs_mean,0.0005533598177436402
component_analysis,z_component_mean,-7.818018519088089e-05
component_analysis,z_component_std,0.0005303588412445649
component_analysis,z_component_min,-0.0098870545626
component_analysis,z_component_max,0.010737039149
component_analysis,z_component_abs_mean,0.0003455574655078497
component_analysis,dominant_direction_dominant_direction,x
component_analysis,dominant_direction_x_fraction,0.5247190851378962
component_analysis,dominant_direction_y_fraction,0.2925757078268841
component_analysis,dominant_direction_z_fraction,0.18270520703521967
component_analysis,dominant_direction_anisotropy_index,0.45188437889434097
spatial,mean_distance_from_center,0.06884813248054611
spatial,max_distance_from_center,0.14804059516208048
spatial,center_vs_edge_center_mean_wss,0.0014868602293895048
spatial,center_vs_edge_edge_mean_wss,0.0011273065590076522
spatial,center_vs_edge_center_std_wss,0.0012600546682595827
spatial,center_vs_edge_edge_std_wss,0.0009374698018466638
spatial,center_vs_edge_center_edge_ratio,1.3189493288306255
spatial,distance_gradient,-0.007524168922117594
vertical_profile,vertical_variation,0.0005646252297227146
vertical_profile,z_gradient,0.10402952777138359
