Category,Metric,Value
basic,count,8133568.0
basic,mean,0.000614469317843658
basic,median,8.3432696556e-06
basic,std,0.0010025998069136603
basic,variance,1.005206372823309e-06
basic,min,0.0
basic,max,0.034112140536
basic,range,0.034112140536
percentiles,p1,0.0
percentiles,p5,0.0
percentiles,p10,0.0
percentiles,p20,0.0
percentiles,p25,0.0
percentiles,p30,0.0
percentiles,p40,0.0
percentiles,p50,8.3432696556e-06
percentiles,p60,0.000419216731096
percentiles,p70,0.000678496022009
percentiles,p75,0.000842057095725
percentiles,p80,0.0010728792753200002
percentiles,p90,0.0019408905180299993
percentiles,p95,0.0027245176606649994
percentiles,p99,0.004453460215610001
percentiles,p99.9,0.007129886009291645
advanced,skewness,2.5701908690872926
advanced,kurtosis,9.560175448122745
advanced,coefficient_of_variation,1.6316515370239462
advanced,interquartile_range,0.000842057095725
advanced,median_absolute_deviation,8.3432696556e-06
advanced,root_mean_square,0.0011759162025393435
distribution,mode,0.0
distribution,geometric_mean,0.0008154626685416204
distribution,harmonic_mean,0.00032173852352013015
distribution,trimmed_mean_10,0.0003864883947326801
distribution,trimmed_mean_20,0.00027340604084594806
turbulence_metrics,turbulent_intensity,0.020239718671359343
turbulence_metrics,energy_above_mean,2864.0785207284234
turbulence_metrics,high_energy_fraction,0.17524191105305814
turbulence_metrics,low_energy_fraction,0.5635986568256391
spatial,mean_radial_distance,0.07054290871129186
spatial,tke_center_vs_edge_center_mean_tke,0.0006626224185683359
spatial,tke_center_vs_edge_edge_mean_tke,0.0005828975398014633
