Category,Metric,Value
basic,count,6927251.0
basic,mean,0.0005308227524817034
basic,median,0.00011410909065
basic,std,0.000842447926357378
basic,variance,7.097185086238462e-07
basic,min,0.0
basic,max,0.034112140536
basic,range,0.034112140536
percentiles,p1,0.0
percentiles,p5,0.0
percentiles,p10,0.0
percentiles,p20,0.0
percentiles,p25,0.0
percentiles,p30,0.0
percentiles,p40,0.0
percentiles,p50,0.00011410909065
percentiles,p60,0.00042440244579
percentiles,p70,0.00063981348649
percentiles,p75,0.00076229503611
percentiles,p80,0.00092088442761
percentiles,p90,0.0015322357649
percentiles,p95,0.00220535416155
percentiles,p99,0.0037659695372
percentiles,p99.9,0.006754750269450142
advanced,skewness,2.937005670096734
advanced,kurtosis,14.942254591343339
advanced,coefficient_of_variation,1.587060694777615
advanced,interquartile_range,0.00076229503611
advanced,median_absolute_deviation,0.00011410909065
advanced,root_mean_square,0.0009957365116952286
distribution,mode,0.0
distribution,geometric_mean,0.0007166118897797956
distribution,harmonic_mean,0.0003413909096623081
distribution,trimmed_mean_5,0.00041110124403048915
distribution,trimmed_mean_10,0.0003478061292360938
distribution,trimmed_mean_20,0.00026757277553686204
turbulence_metrics,turbulent_intensity,0.018811747260363727
turbulence_metrics,energy_variability_index,1.587060694777615
turbulence_metrics,excess_energy_magnitude,2012.7895709648774
turbulence_metrics,deficit_energy_magnitude,2012.789570964872
turbulence_metrics,high_energy_fraction,0.1670228204521534
turbulence_metrics,low_energy_fraction,0.536115119836137
turbulence_metrics,peak_to_rms_ratio,34.25819997091853
turbulence_metrics,energy_concentration_factor,64.26277015542169
turbulence_metrics,uniformity_index,-0.5870606947776149
spatial,mean_distance_from_center,0.06621553240040581
spatial,max_distance_from_center,0.1481082737791281
spatial,center_vs_edge_center_mean_tke,0.0005921098521495494
spatial,center_vs_edge_edge_mean_tke,0.0004351482036845995
spatial,center_vs_edge_center_std_tke,0.000892480026896355
spatial,center_vs_edge_edge_std_tke,0.0007477939701596938
spatial,center_vs_edge_center_edge_ratio,1.3607084830774518
spatial,distance_gradient,-0.0003752270816560842
vertical_profile,vertical_variation,0.0006505297275968743
vertical_profile,z_gradient,0.01414154635341038
